	Label	Area	Mean	Min	Max
128	J_M_pos_control.tif	0.00186	33145.44615	24576	43420
129	J_M_pos_control.tif	0.00165	32674.81739	24444	42164
130	J_M_pos_control.tif	0.00277	33132.37306	24552	42740
131	J_M_pos_control.tif	0.00143	34017.72000	24828	44764
132	J_M_pos_control.tif	0.00159	34566.84685	24444	48676
133	J_M_pos_control.tif	0.00175	30620.98361	24500	39424
134	J_M_pos_control.tif	0.00209	31403.36986	24468	40308
135	J_M_pos_control.tif	0.00572	32621.86466	24448	42608
136	J_M_pos_control.tif	0.00163	33158.59649	24480	41700
137	J_M_pos_control.tif	0.00106	32070.05405	24496	40640
138	J_M_pos_control.tif	0.00471	32168.19453	24476	41504
139	J_M_pos_control.tif	0.00193	32712.35556	24496	42712
140	J_M_pos_control.tif	0.00140	33518.08163	24676	41596
141	J_M_pos_control.tif	0.00119	32585.83133	24460	41452
142	J_M_pos_control.tif	0.00239	34200.91018	24860	46176
143	J_M_pos_control.tif	0.00034	30126.33333	24552	36032
144	J_M_pos_control.tif	0.00073	31361.41176	24704	38988
145	J_M_pos_control.tif	0.00082	32191.64912	25108	39588
146	J_M_pos_control.tif	0.00123	32165.16279	24660	40588
147	J_M_pos_control.tif	0.00685	34105.95816	24484	47380
148	J_M_pos_control.tif	0.00069	30375.16667	24728	36212
149	J_M_pos_control.tif	0.00347	32245.38843	24560	40444
150	J_M_pos_control.tif	0.00102	32563.66197	24676	41424
151	J_M_pos_control.tif	0.00096	32767.34328	24684	41284
152	J_M_pos_control.tif	0.00052	29433.88889	24456	34880
153	J_M_pos_control.tif	0.00110	31625.61039	24464	40348
154	J_M_pos_control.tif	0.00192	31511.40299	24484	41436
155	J_M_pos_control.tif	0.00128	30799.82022	24600	38784
156	J_M_pos_control.tif	0.00274	34056.98429	24680	42848
157	J_M_pos_control.tif	0.00037	30098.30769	25264	36196
158	J_M_pos_control.tif	0.00171	32561.21008	24580	41092
159	J_M_pos_control.tif	0.00083	32503.79310	24724	40240
160	J_M_pos_control.tif	0.00396	32955.31884	24444	43196
161	J_M_pos_control.tif	0.00159	34420.82883	24496	45364
162	J_M_pos_control.tif	0.00254	34980.74576	24464	47520
163	J_M_pos_control.tif	0.00052	31887.66667	24536	39824
164	J_M_pos_control.tif	0.00052	31188.22222	24568	37776
165	J_M_pos_control.tif	0.00095	32465.63636	24604	40412
166	J_M_pos_control.tif	0.00434	33572.76568	24496	45932
167	J_M_pos_control.tif	0.00030	28638.47619	25252	32848
168	J_M_pos_control.tif	0.00112	32385.02564	24484	41104
169	J_M_pos_control.tif	0.00274	32680.33508	24492	42424
170	J_M_pos_control.tif	0.00100	33163.31429	24756	41732
171	J_M_pos_control.tif	0.00421	33910.09524	24480	46080
172	J_M_pos_control.tif	0.00112	32591.94872	24476	41792
173	J_M_pos_control.tif	0.00143	30331.92000	24496	37220
174	J_M_pos_control.tif	0.00118	30862.09756	24696	37108
175	J_M_pos_control.tif	0.00125	32352.41379	24612	40272
176	J_M_pos_control.tif	0.00211	34265.46939	24488	45592
177	J_M_pos_control.tif	0.00067	30937.95745	24680	36932
178	J_M_pos_control.tif	0.00150	32542.13333	24580	40928
179	J_M_pos_control.tif	0.00030	30848.38095	24712	36916
180	J_M_pos_control.tif	0.00221	29257.94805	24524	36448
181	J_M_pos_control.tif	0.00166	34412.93103	24548	44684
182	J_M_pos_control.tif	0.00089	30276.38710	24512	36424
183	J_M_pos_control.tif	0.00135	33636.12766	24708	43852
184	J_M_pos_control.tif	0.00049	29245.88235	24480	34672
185	J_M_pos_control.tif	0.00066	30783.73913	24596	37584
186	J_M_pos_control.tif	0.00075	32020.23077	25120	38800
187	J_M_pos_control.tif	0.00252	34213.06818	24576	46212
188	J_M_pos_control.tif	0.00162	34276.81416	24452	45048
189	J_M_pos_control.tif	0.00079	32382.40000	24544	39564
190	J_M_pos_control.tif	0.00215	33604.93333	24496	42908
191	J_M_pos_control.tif	0.00666	31152.53333	24456	39948
192	J_M_pos_control.tif	0.00168	31802.22222	24676	43984
193	J_M_pos_control.tif	0.00221	30926.64935	24564	37876
194	J_M_pos_control.tif	0.00073	31300.31373	25232	38528
195	J_M_pos_control.tif	0.00069	31643.00000	25388	38484
196	J_M_pos_control.tif	0.00075	31164.46154	24532	38368
197	J_M_pos_control.tif	0.00075	30448.53846	24516	37332
198	J_M_pos_control.tif	0.00059	30338.82927	25324	36840
199	J_M_pos_control.tif	0.00125	32115.67816	24756	39944
200	J_M_pos_control.tif	0.00302	32480.18957	24444	42304
201	J_M_pos_control.tif	0.00171	31386.25210	24568	38416
202	J_M_pos_control.tif	0.00385	31897.84387	24464	41792
203	J_M_pos_control.tif	0.00142	34137.01010	25100	44764
204	J_M_pos_control.tif	0.00685	34250.73640	24484	45020
205	J_M_pos_control.tif	0.00196	32216.26277	24536	42824
206	J_M_pos_control.tif	0.00120	33342.66667	24580	42628
207	J_M_pos_control.tif	0.00249	32153.31034	24580	42108
208	J_M_pos_control.tif	0.00284	32379.25253	24644	40364
209	J_M_pos_control.tif	0.00067	31289.87234	24712	38056
210	J_M_pos_control.tif	0.00152	31974.56604	24656	40896
211	J_M_pos_control.tif	0.00391	32967.38462	24520	44200
212	J_M_pos_control.tif	0.00046	29630.87500	24984	34740
213	J_M_pos_control.tif	0.00168	32910.63248	24452	43200
214	J_M_pos_control.tif	0.00106	31726.81081	25012	40168
215	J_M_pos_control.tif	0.00172	34021.60000	24524	44300
216	J_M_pos_control.tif	0.00049	30134.23529	24496	35236
217	J_M_pos_control.tif	0.00075	31014.46154	24456	38264
218	J_M_pos_control.tif	0.00070	30947.91837	24900	37316
219	J_M_pos_control.tif	0.00228	30638.06289	24524	38204
220	J_M_pos_control.tif	0.00150	33983.00952	24500	44488
221	J_M_pos_control.tif	0.00043	29399.20000	25356	34464
222	J_M_pos_control.tif	0.00057	29686.00000	24488	36512
223	J_M_pos_control.tif	0.00152	31538.83019	24556	39684
224	J_M_pos_control.tif	0.00057	29135.30000	24516	34780
225	J_M_pos_control.tif	0.00129	30552.66667	24680	38252
226	J_M_pos_control.tif	0.00050	29897.48571	24464	35404
227	J_M_pos_control.tif	0.00232	33991.35802	24536	45332
228	J_M_pos_control.tif	0.00126	32191.09091	24816	39516
229	J_M_pos_control.tif	0.00254	33450.35028	24464	43240
230	J_M_pos_control.tif	0.00165	32240.13913	24600	41556
231	J_M_pos_control.tif	0.00033	28831.13043	24724	33124
232	J_M_pos_control.tif	0.00150	31139.73333	24504	40192
233	J_M_pos_control.tif	0.00120	33440.52381	25096	42592
234	J_M_pos_control.tif	0.00090	32040.50794	24724	40192
235	J_M_pos_control.tif	0.00123	30368.13953	24572	37796
236	J_M_pos_control.tif	0.00401	33582.78571	24528	42272
237	J_M_pos_control.tif	0.00072	31422.88000	24776	39132
238	J_M_pos_control.tif	0.00325	33597.25110	24708	44412
239	J_M_pos_control.tif	0.00218	29768.65789	24532	39588
240	J_M_pos_control.tif	0.00064	30608.26667	24472	37592
241	J_M_pos_control.tif	0.00267	34193.50538	24576	41764
242	J_M_pos_control.tif	0.00140	30962.40816	24504	38292
243	J_M_pos_control.tif	0.00120	34078.00000	24712	45404
244	J_M_pos_control.tif	0.00140	31395.83673	24484	39500
245	J_M_pos_control.tif	0.00307	35168.84112	24516	45236
246	J_M_pos_control.tif	0.00097	30382.23529	24476	38288
247	J_M_pos_control.tif	0.00188	32246.47328	24508	41544
248	J_M_pos_control.tif	0.00279	33306.99487	24468	45076
249	J_M_pos_control.tif	0.00269	30020.57447	24464	36552
250	J_M_pos_control.tif	0.00334	32292.00000	24500	44104
251	J_M_pos_control.tif	0.00053	30335.24324	24452	37060
252	J_M_pos_control.tif	0.00215	32747.49333	24492	43264
253	J_M_pos_control.tif	0.00113	30176.05063	24584	36844
254	J_M_pos_control.tif	0.00107	32260.00000	24512	40608
255	J_M_pos_control.tif	0.00161	33046.67857	24828	41660
256	J_M_pos_control.tif	0.00341	32589.22689	24564	42248
257	J_M_pos_control.tif	0.00030	28650.47619	24756	32348
258	J_M_pos_control.tif	0.00046	29191.12500	24828	34400
259	J_M_pos_control.tif	0.00044	29251.74194	24456	34376
260	J_M_pos_control.tif	0.00196	33426.62774	24668	44200
261	J_M_pos_control.tif	0.00126	30780.31818	24516	39824
262	J_M_pos_control.tif	0.00139	30808.08247	24516	36736
263	J_M_pos_control.tif	0.00042	28863.44828	24612	34476
264	J_M_pos_control.tif	0.00304	30307.15094	24536	38880
265	J_M_pos_control.tif	0.00090	31717.20635	24480	40728
266	J_M_pos_control.tif	0.00070	31102.36735	24720	38516
267	J_M_pos_control.tif	0.00142	32844.40404	24676	41816
268	J_M_pos_control.tif	0.00060	31247.04762	24532	38612
269	J_M_pos_control.tif	0.00070	29321.63265	24488	35180
270	J_M_pos_control.tif	0.00208	32096.85517	24556	39672
271	J_M_pos_control.tif	0.00176	28864.39024	24444	37112
272	J_M_pos_control.tif	0.00056	30004.82051	24588	36356
273	J_M_pos_control.tif	0.00145	33782.37624	24548	43768
274	J_M_pos_control.tif	0.00080	31635.57143	25016	39328
275	J_M_pos_control.tif	0.00056	29276.10256	24456	35836
276	J_M_pos_control.tif	0.00173	32283.10744	24520	41324
277	J_M_pos_control.tif	0.00623	30691.09885	24500	39556
278	J_M_pos_control.tif	0.00033	31570.08696	24796	38976
279	J_M_pos_control.tif	0.00751	32070.67176	24444	40644
280	J_M_pos_control.tif	0.00196	31611.15328	24516	39848
281	J_M_pos_control.tif	0.00072	30955.44000	24544	38900
282	J_M_pos_control.tif	0.00171	31462.82353	24516	39932
283	J_M_pos_control.tif	0.00075	30889.53846	24472	38316
284	J_M_pos_control.tif	0.00140	30718.73469	24488	38452
285	J_M_pos_control.tif	0.00059	29878.43902	24488	35616
286	J_M_pos_control.tif	0.00199	31953.89928	24448	39608
287	J_M_pos_control.tif	0.00099	30200.11594	24496	37492
288	J_M_pos_control.tif	0.00079	31087.56364	24480	38700
289	J_M_pos_control.tif	0.00728	33067.66142	24444	46192
290	J_M_pos_control.tif	0.00387	33203.22963	24496	45384
291	J_M_pos_control.tif	0.00192	32934.00000	24484	43180
292	J_M_pos_control.tif	0.00063	30031.00000	24680	36552
293	J_M_pos_control.tif	0.00158	33085.96364	24672	42464
294	J_M_pos_control.tif	0.00261	32698.87912	24448	44032
295	J_M_pos_control.tif	0.00039	28548.74074	24536	33236
296	J_M_pos_control.tif	0.00553	33200.35233	24484	42348
297	J_M_pos_control.tif	0.00327	34086.54386	24468	45508
298	J_M_pos_control.tif	0.00076	31063.39623	24700	37832
299	J_M_pos_control.tif	0.00076	31111.62264	24516	38876
300	J_M_pos_control.tif	0.00427	31165.10067	24480	39920
301	J_M_pos_control.tif	0.00109	30112.26316	24452	37812
302	J_M_pos_control.tif	0.00377	33882.53992	24468	46596
303	J_M_pos_control.tif	0.00050	29492.45714	24616	35600
304	J_M_pos_control.tif	0.00191	32058.07519	24452	40660
305	J_M_pos_control.tif	0.00285	30783.63819	24520	39144
306	J_M_pos_control.tif	0.00255	33549.77528	24520	43080
307	J_M_pos_control.tif	0.00301	31560.26667	24448	43488
308	J_M_pos_control.tif	0.00087	30869.96721	24720	38292
309	J_M_pos_control.tif	0.00076	31163.69811	24504	39612
310	J_M_pos_control.tif	0.00030	28627.23810	24812	32584
311	J_M_pos_control.tif	0.00334	30292.48069	24472	36992
312	J_M_pos_control.tif	0.00106	30556.00000	24468	37132
313	J_M_pos_control.tif	0.00099	31944.52174	25516	39716
314	J_M_pos_control.tif	0.00261	34160.10989	24508	46936
315	J_M_pos_control.tif	0.00076	30678.33962	24612	38108
316	J_M_pos_control.tif	0.00096	32505.37313	24720	40472
317	J_M_pos_control.tif	0.00656	33428.20087	24444	44708
318	J_M_pos_control.tif	0.00080	31870.50000	24480	40248
319	J_M_pos_control.tif	0.00272	35213.32632	24504	45660
320	J_M_pos_control.tif	0.00107	32198.40000	24504	40700
321	J_M_pos_control.tif	0.00274	33856.25131	24460	45820
322	J_M_pos_control.tif	0.00047	29460.72727	24692	35372
323	J_M_pos_control.tif	0.00232	32155.87654	24512	40484
324	J_M_pos_control.tif	0.00155	33589.07407	24624	42808
325	J_M_pos_control.tif	0.00641	32308.64430	24472	44952
326	J_M_pos_control.tif	0.00133	30495.31183	24448	38860
327	J_M_pos_control.tif	0.00159	30333.62162	24460	36840
328	J_M_pos_control.tif	0.00473	31277.81818	24460	39752
329	J_M_pos_control.tif	0.00199	31398.84892	24488	41460
330	J_M_pos_control.tif	0.00123	32384.51163	24472	41248
331	J_M_pos_control.tif	0.00300	32556.97608	24484	43296
332	J_M_pos_control.tif	0.00119	33242.69880	24832	42512
333	J_M_pos_control.tif	0.00109	32696.89474	24600	43256
334	J_M_pos_control.tif	0.00112	31694.66667	24664	38836
335	J_M_pos_control.tif	0.00063	29943.18182	24500	36756
336	J_M_pos_control.tif	0.00066	31036.78261	24760	38016
337	J_M_pos_control.tif	0.00371	34298.64093	24500	45900
338	J_M_pos_control.tif	0.00083	30722.82759	24468	38052
339	J_M_pos_control.tif	0.00417	31704.82474	24448	43068
340	J_M_pos_control.tif	0.00370	33293.84496	24600	45652
341	J_M_pos_control.tif	0.00295	33261.84466	24676	42360
342	J_M_pos_control.tif	0.00123	32088.79070	24488	41108
343	J_M_pos_control.tif	0.00238	33223.73494	24468	42984
344	J_M_pos_control.tif	0.00203	33274.02817	24460	43164
345	J_M_pos_control.tif	0.00133	30985.07527	24612	40748
346	J_M_pos_control.tif	0.00464	32090.66667	24476	41416
347	J_M_pos_control.tif	0.00040	28912.71429	25260	33764
348	J_M_pos_control.tif	0.00165	30187.82609	24524	38136
349	J_M_pos_control.tif	0.00077	31329.92593	24716	38940
350	J_M_pos_control.tif	0.00173	33262.54545	24464	40908
351	J_M_pos_control.tif	0.00118	30140.39024	24504	36536
352	J_M_pos_control.tif	0.00099	31092.69565	24756	38544
353	J_M_pos_control.tif	0.00272	33104.40000	24672	43028
354	J_M_pos_control.tif	0.00030	29068.95238	24628	34124
355	J_M_pos_control.tif	0.00461	34593.20497	24452	43880
356	J_M_pos_control.tif	0.00380	33647.95472	24444	44384
357	J_M_pos_control.tif	0.00284	33561.59596	24480	44508
358	J_M_pos_control.tif	0.00069	31073.41667	24640	38896
359	J_M_pos_control.tif	0.00851	33699.48822	24460	44424
360	J_M_pos_control.tif	0.00126	31891.59091	24492	39028
361	J_M_pos_control.tif	0.00206	33639.02778	24460	44684
362	J_M_pos_control.tif	0.00113	33427.24051	24492	44684
363	J_M_pos_control.tif	0.00348	33331.95062	24620	42780
364	J_M_pos_control.tif	0.00077	31371.18519	24612	38820
365	J_M_pos_control.tif	0.00123	32809.30233	24600	41736
